Mate,NAME,Pos.#,Barcode,Length,Width,Thickness,Length2,Width2,Thickness2,Top,Bottom,Edge 1,Edge 2,Edge 3,Edge 4,Qty
GP_HDH17_5900_BS,Drawer Side LHS,02.26Y125T4F15D2_1089,02.26Y125T4F15D2_1089,450,110,17,448.8,108.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer front INT,02.26Y125T4F15D2_1081,02.26Y125T4F15D2_1081,473.5,80,17,472.3,79.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side RHS,02.26Y125T4F15D2_1082,02.26Y125T4F15D2_1082,450,110,17,448.8,108.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Back,02.26Y125T4F15D2_1083,02.26Y125T4F15D2_1083,473.5,110,17,472.3,109.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side LHS,02.26Y125T4F15D2_1084,02.26Y125T4F15D2_1084,450,110,17,448.8,108.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_36_5900_BS,Int RS Filler 36 mm,03.26Y125T4F15D3_1079,03.26Y125T4F15D3_1079,200,323,36,198.8,321.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_36_5900_BS,Int RS Filler 36 mm,03.26Y125T4F15D3_1153,03.26Y125T4F15D3_1153,200,470,36,198.8,468.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_6_5900_BS,Drawer Bottom,03.26Y125T4F15D3_1164,03.26Y125T4F15D3_1164,386.5,276,6,386.5,276,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH_6_5900_BS,Drawer Bottom,03.26Y125T4F15D3_1142,03.26Y125T4F15D3_1142,386.5,426,6,386.5,426,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH17_5900_BS,Drawer Front,03.26Y125T4F15D3_1137,03.26Y125T4F15D3_1137,198,451,17,196.8,449.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Front,03.26Y125T4F15D3_1159,03.26Y125T4F15D3_1159,198,451,17,196.8,449.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer front INT,03.26Y125T4F15D3_1160,03.26Y125T4F15D3_1160,376.5,110,17,375.3,109.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side RHS,03.26Y125T4F15D3_1161,03.26Y125T4F15D3_1161,300,140,17,298.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Back,03.26Y125T4F15D3_1162,03.26Y125T4F15D3_1162,376.5,140,17,375.3,139.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side LHS,03.26Y125T4F15D3_1163,03.26Y125T4F15D3_1163,300,140,17,298.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer front INT,03.26Y125T4F15D3_1138,03.26Y125T4F15D3_1138,376.5,110,17,375.3,109.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side RHS,03.26Y125T4F15D3_1139,03.26Y125T4F15D3_1139,450,140,17,448.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Back,03.26Y125T4F15D3_1140,03.26Y125T4F15D3_1140,376.5,140,17,375.3,139.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side LHS,03.26Y125T4F15D3_1141,03.26Y125T4F15D3_1141,450,140,17,448.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_36_5900_BS,Int RS Filler 36 mm,03.26Y125T4F24D3_1079,03.26Y125T4F24D3_1079,200,323,36,198.8,321.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_36_5900_BS,Int RS Filler 36 mm,03.26Y125T4F24D3_1153,03.26Y125T4F24D3_1153,200,470,36,198.8,468.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH_6_5900_BS,Drawer Bottom,03.26Y125T4F24D3_1164,03.26Y125T4F24D3_1164,386.5,276,6,386.5,276,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH_6_5900_BS,Drawer Bottom,03.26Y125T4F24D3_1142,03.26Y125T4F24D3_1142,386.5,426,6,386.5,426,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,PRF_00,PRF_00,PRF_00,1
GP_HDH17_5900_BS,Drawer Front,03.26Y125T4F24D3_1137,03.26Y125T4F24D3_1137,198,451,17,196.8,449.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Front,03.26Y125T4F24D3_1159,03.26Y125T4F24D3_1159,198,451,17,196.8,449.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer front INT,03.26Y125T4F24D3_1160,03.26Y125T4F24D3_1160,376.5,110,17,375.3,109.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side RHS,03.26Y125T4F24D3_1161,03.26Y125T4F24D3_1161,300,140,17,298.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Back,03.26Y125T4F24D3_1162,03.26Y125T4F24D3_1162,376.5,140,17,375.3,139.6,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,PRF_00,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
GP_HDH17_5900_BS,Drawer Side LHS,03.26Y125T4F24D3_1163,03.26Y125T4F24D3_1163,300,140,17,298.8,138.8,0,GP_5900_FABRIC_CREAM_MAT,GP_5900_FABRIC_CREAM_MAT,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,E3_2098_Fabric28_1MM,1
